Artist,Track,User,Rating,Time
1,6,3475,25.730486,18
6,149,39210,42.574301,15
40,177,47861,12.395236,17
31,79,27413,26.161227,11
26,66,23232,31.514302,22
26,61,22055,54.455916,22
2,68,24799,14.907633,22
25,59,18862,14.318536,21
0,150,38832,17.260067,15
1,6,2963,39.409903,18
2,174,50279,29.746674,17
0,151,40651,29.560141,15
22,122,32258,36.34227,0
26,61,24022,54.651735,22
42,158,41437,33.598964,16
22,52,17546,12.04333,21
16,138,34937,22.154196,12
39,106,27891,34.900222,23
32,83,25811,36.786676,11
46,169,44548,38.648133,16
10,26,9404,49.481305,7
41,156,41323,55.315291,16
0,2,482,47.808088,6
43,159,42937,62.838751,16
10,140,33966,22.359759,12
30,76,24111,36.351793,22
10,144,33620,13.312983,12
25,59,19890,34.725382,21
0,150,39322,40.275877,15
22,55,20599,27.886346,21
35,88,29074,39.858123,23
22,121,33040,26.62225,0
8,20,8977,18.734672,7
35,90,30817,18.580174,23
46,165,45243,12.107689,16
2,175,49529,45.234518,17
2,174,48639,13.042369,17
26,66,24087,51.772187,22
37,101,31068,23.972729,23
4,12,36718,54.127043,13
1,6,3796,37.970917,18
34,86,27805,57.645706,23
4,11,3559,77.888131,18
38,102,27848,26.535331,23
6,16,6218,16.218893,7
49,182,50382,27.638072,17
14,95,27721,18.180906,23
21,49,19533,30.811126,21
21,48,22314,32.367475,22
26,63,23166,37.957876,22
26,63,23815,43.998232,22
41,155,42550,54.30213,16
9,21,7880,81.965054,7
26,63,23862,30.800192,22
20,46,18515,7.07437,21
11,152,38579,53.765066,15
7,17,8815,54.218529,7
30,76,24859,44.860186,22
32,81,27217,28.849754,11
44,162,41611,67.999202,16
26,67,23111,31.695721,22
1,6,2050,14.53906,18
16,139,34813,26.917881,12
32,84,26515,51.681146,11
26,67,21841,20.37167,22
46,166,45409,16.875416,16
22,125,32920,18.181826,0
10,145,35357,13.712989,12
30,76,23900,26.596868,22
26,62,23302,43.752691,22
22,129,32257,45.723702,0
42,157,41556,23.790915,16
22,113,33185,37.796976,0
0,2,42,43.172327,6
14,32,11191,35.938492,19
44,161,42454,35.398863,16
33,85,35671,16.234733,12
44,162,41997,58.389933,16
45,163,45056,37.831467,16
26,62,23208,39.814345,22
41,156,41692,33.783588,16
26,63,21724,19.291533,22
46,165,45220,32.212792,16
38,102,31919,14.605442,23
33,85,35686,25.747762,12
24,58,21088,32.310682,21
16,139,33583,37.354824,12
39,106,30090,38.880191,23
4,12,5510,64.035118,18
