36927,2,60,13,1,4,1,-1,49,50,49,50,32,33,32,0,74,50,50,71,52,71,9,7,72,49,26
3566,2,36,3,1,4,1,1,55,55,62,9,9,9,10,11,55,12,65,65,80,79,51,31,68,54,33
20054,2,52,12,2,3,1,0.5,11,50,9,8,45,10,30,29,8,50,94,51,74,66,27,46,73,8,31
41749,2,40,8,1,6,2,3,81,80,88,88,31,31,51,30,8,76,74,64,73,85,61,77,76,78,88
23108,2,16,4,4,6,3,6,76,79,78,73,71,68,73,67,31,56,13,82,79,68,71,-1,86,80,32
42754,1,20,1,2,6,5,-1,74,100,100,54,54,18,53,27,5,100,72,73,100,100,75,74,76,34,73
4596,2,58,5,4,3,1,2,31,31,37,78,58,11,82,13,70,52,71,50,34,25,10,14,49,29,24
40555,2,50,12,2,4,1,5,50,32,51,68,69,31,33,31,54,12,100,67,64,71,7,27,72,52,31
8673,2,45,-1,3,3,-1,3,9,46,11,10,10,52,70,10,51,50,72,49,13,11,13,8,48,-1,-1
5195,1,41,12,1,4,7,1,10,17,17,8,7,8,7,8,28,48,69,81,7,62,12,10,6,8,7
33301,2,21,4,1,4,2,0.5,68,68,69,32,32,37,51,51,5,31,7,30,70,69,32,45,50,72,96
30264,1,56,1,4,3,2,0,29,29,32,30,28,28,29,30,93,50,68,54,54,53,3,-1,4,5,6
18020,1,57,1,4,1,0.5,0.5,4,4,3,4,4,91,4,6,96,4,5,6,4,4,6,6,5,5,5
24241,2,31,1,4,5,1,1,33,50,53,49,32,51,49,67,29,50,64,54,57,57,53,-1,70,50,53
41557,2,20,4,4,6,2,5,78,70,76,47,42,51,53,53,1,85,53,51,50,49,69,61,91,59,100
2314,2,32,3,2,4,3,3,10,49,31,32,33,32,97,77,32,30,92,91,10,30,11,12,31,30,11
20646,1,-1,1,2,6,5,3,95,60,75,21,19,31,5,6,6,82,7,7,6,8,7,29,90,52,69
672,1,35,-1,4,4,0,7,32,52,53,53,29,29,13,13,61,72,80,80,80,51,30,12,31,-1,-1
23151,2,65,5,2,5,2,1,30,55,51,33,32,7,8,7,73,74,46,47,21,46,44,-1,47,28,29
47285,1,43,-1,3,3,0,0,51,27,19,19,56,8,11,18,97,59,29,33,8,23,5,17,50,-1,-1
1596,2,41,-1,4,4,1,2,69,50,51,70,51,30,10,12,51,72,72,72,70,73,51,51,88,-1,-1
3975,1,41,12,4,3,0.5,0.5,9,64,15,11,12,50,32,30,29,31,28,30,72,72,12,12,10,9,11
27163,1,45,12,2,4,2,3,59,67,67,52,28,14,13,15,35,50,76,77,56,75,49,60,48,54,66
